,text,IPA
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/537.wav,unknown,b aɪ t ɔ t ʌ n ɨ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/441.wav,unknown,ɔ n m ʌ f
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/506.wav,unknown,p k r i a t ə n a p e z i n a k o m i ts a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/973.wav,unknown,p oː t i n aɪ ʃ ɪ l l e ʒ y p ð a ŋ ɡ ʌ k r i z o n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/423.wav,unknown,z a v i s y m a s t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/409.wav,unknown,f e d e k r ʒ a n i j i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/521.wav,unknown,m ɑ l v ə n ʌ m n e s t a k a n t v r a d y
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/251.wav,unknown,v y z i t a k k r o v ʌ ts e l ə b a l n oɪ o m
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/77.wav,unknown,i d a e v o k k l ʌ s k o s i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/427.wav,unknown,p r r a k t e r t r
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/278.wav,unknown,t e l ɛ t ə z d a ɡ r ɑ v ʌ a ʃ t r a d i l ʌ tʃ a s t ɛ l n y m
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/835.wav,unknown,d a b aɪ v s k r eː d ɪ m s ɛ v p aɪ θ l e d ə n iː k r a z
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/330.wav,unknown,i a l o m b l o t i v ð e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/785.wav,unknown,ɡ r eː ɔ d k a m a d ɡ r ɔ v
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/690.wav,unknown,p k l a d a l t e l d e f o n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/539.wav,unknown,ɲ e s p k r a v i l m y x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/417.wav,unknown,p k l ɔ j a ɡ ʌ k r i ʃ o v tʃ e m p i n a t e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/236.wav,unknown,n i n e k a ɡ d a n i l o v i l a ŋ ʁ o n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/852.wav,unknown,d a k s e l t i n a j e ɑ b y ʃ e n n i ʒ i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/399.wav,unknown,n a m v o t r d a n i x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/926.wav,unknown,l a t e n ts e m o k k r e j e o t b u k r e v y ɡ v a d e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/686.wav,unknown,o n a s i j e s t a l k e k r e t i v ʌ n i f l a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/88.wav,unknown,o f a l i t i k i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/847.wav,unknown,v i d e l a t o m a ʃ e n u
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/1.wav,unknown,f k r aɪ t i n d o q o k f o s a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/149.wav,unknown,i dʒ i a l o v l o k r a n a s t a r a t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/536.wav,unknown,m l e k a t i t aː j o ʃ e e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/204.wav,unknown,k a k r e z i n a p a l n a m o s a k r a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/374.wav,unknown,eː eː f i l l eː ɡ p ɡ r aɪ ŋ ɡ ɡ r a l
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/341.wav,unknown,tʃ e k r e z p e t u m i n n u t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/108.wav,unknown,j e s t i ɡ a l o v l o r e z a n i i s a m b a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/602.wav,unknown,r i d i n a j o t o m v i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/508.wav,unknown,e t e n e s t a s y v a b o l d ə n a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/736.wav,unknown,m i s k a s ʌ n a l ʌ k o m
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/947.wav,unknown,ɛ s s t a j e t v o l tʃ p r i d i z a n o v ə p ʌ l i s t eɪ ʃ ə n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/670.wav,unknown,n a n d a n v a v i t v e l f i m k n o m i k o
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/834.wav,unknown,f o p a ɡ o l l a l i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/818.wav,unknown,t ɔ s s t ɛ k ʃ ɪ n ɡ a k r i l k a l ɡ ə d a v ə ɲ ɔ m b aɪ d ə d ɛ k r i n l ɪ ʊ n v a l d
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/355.wav,unknown,x ɔ l t e ts e v i a n i k a k t ɔ f i l t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/255.wav,unknown,n a v k r i m e t r t i m n e k k r o ŋ ɡ i f f o n d ɡ u l a z a l m i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/684.wav,unknown,o n b y p k r i n o s s m ʌ n e e t a t k a k r a l e v s k i d a k r
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/225.wav,unknown,n o ɡ a k l a z p r o s f e ɲ i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/318.wav,unknown,e k r e j e o r k r a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/998.wav,unknown,o tʃ i t e t t r o d a f
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/769.wav,unknown,d o x i n e z i n aː j o u s t a l a sʲ t i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/335.wav,unknown,x k r a n i k u v t o v t aː ɲ i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/767.wav,unknown,s e l f e t ɡ i v o l a d ɹ ʌ d n s p i k t a v e e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/910.wav,unknown,a l k a ɡ o l f l o x a v n j aː j e t n a i z d a ɡ r a v i e tʃ e l a v i k a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/95.wav,unknown,a t ʌ m i ʃ ɛ l tʃ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/586.wav,unknown,t e v o s k a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/874.wav,unknown,ʃ t a p a l e t e l v a k o n o k a ɡ d a t e t e p k r a j e n ɡ ʌ k r a e t e t k r r aː n t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/314.wav,unknown,s e l a d ɡ i x θ n ɔ v
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/465.wav,unknown,i s t o k r i a f o v t a k r a e ts
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/761.wav,unknown,e ɲ i ɡ ʌ b ʌ l ʌ l tʃ ɪ n i n t e p r e s ə n n i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/597.wav,unknown,n e v e r o p k i tʃ i n d e s f a k o ts a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/489.wav,unknown,j e m o v p e t l e t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/733.wav,unknown,ɡ ʌ k r a s f a k a l e n a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/729.wav,unknown,d e k r e k t a k r t e a k r a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/304.wav,unknown,n e n a n d a i z y r i n e l ts
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/669.wav,unknown,t ɹ j θ v dʒ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/616.wav,unknown,v a d a n ʌ v i k k r aː e ts a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/7.wav,unknown,n ɡ ʉ d e p k r i p a d a v a l t e l
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/985.wav,unknown,i k i aː n m a b o l a ɡ l o b o k aɪ ʃ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/886.wav,unknown,ʌ v ʌ k r e m e n e v ə d ɔ t s ə m e k t ʌ n ɪ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/595.wav,unknown,ʒ ʌ z ɪ ɪ s m ɪ k t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/206.wav,unknown,p i r p s i k i k a k r a z i d a v k o s n e e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/625.wav,unknown,v ʌ ts e m ʌ ŋ ɡ a z i n y z ʌ k k r t ʌ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/799.wav,unknown,d i s e p t i k e t i r l a v y
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/531.wav,unknown,l a m aː n i q
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/22.wav,unknown,i n f a k r o m a ts e o n n a a s i s t e m a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/840.wav,unknown,p e v ʌ ɡ l e d y s t t e l i n o
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/332.wav,unknown,a b ə v ø t t ʌ r i l a t i b e n z ɛ n t ə v e k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/627.wav,unknown,m a l a k ɑ z e k o n tʃ i n l e s
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/393.wav,unknown,a f t ʌ m a t i z i k p r a v ʌ i j e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/509.wav,unknown,u ʃ t ɔ v e p e s e v e t o i tʃ i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/689.wav,unknown,p a n d a k k r i l p ʌ p u ŋ ɡ aː e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/672.wav,unknown,d o m a j o n a m p a k r a k k a s x a l d e ts a f o d a n m a m
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/837.wav,unknown,ɪ z d a v i t eɪ ŋ ɡ ɔ l
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/805.wav,unknown,m a n i t o k r u l k r a f u f t r o k i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/507.wav,unknown,m e n e z e v o t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/490.wav,unknown,k e d ʌ d n e j ʃ k o l ʌ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/514.wav,unknown,o v r a l s i j eː s t d a s t a v k a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/798.wav,unknown,v aː t i n e j p a l e tʃ k i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/544.wav,unknown,m a d e l i t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/107.wav,unknown,o d i v e e s t o v
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/367.wav,unknown,v e z e t n e s l a v o
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/15.wav,unknown,aː l l v n iː k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/579.wav,unknown,d ɪ f y n ɔ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/76.wav,unknown,x e d i d p a n t a l e k o
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/889.wav,unknown,d ɔ l s t i eː u n v o k r a t ʌ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/637.wav,unknown,i s a k a l ʒ e m p i ts u
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/529.wav,unknown,k r e a t ə n a v a a p e t i t a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/191.wav,unknown,ɲ e z e v e k ʃ aɪ t ʌ ʃ y v ʌ k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/771.wav,unknown,a n p a m v ʌ l a t s v e t a a l e ɡ b a t ʃ k r
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/864.wav,unknown,k o f t a s e s k r a z e n n i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/299.wav,unknown,v e ɡ l i z o k a k k r e m v e l n ʌ k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/564.wav,unknown,iː s l e d a v e l t e l s k i p o k r aː e k t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/972.wav,unknown,d iː s aɪ t s t r a f e l k i m ɔ ʒ e t v uː t s r a ʃ n e tʃ t e n e e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/363.wav,unknown,q o k a k o l l a z e k r o v ts o j tʃ o t a k aː r ɯ f k o ts n a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/337.wav,unknown,v a k ɡ a ʌ v ʌ v d ɛ m ʌ θ t ɪ k s k oː θ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/728.wav,unknown,d a v o l n i k r e z u l t t a t a n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/23.wav,unknown,l a d e k r i n t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/632.wav,unknown,i r aɪ n i m a ŋ ɡ o t e b e l d a k ʌ n a t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/406.wav,unknown,b e l a ɡ i t r i s k i x
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/440.wav,unknown,m a t e m a t i k a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/110.wav,unknown,b e l e t v a d e n k a ɲ i t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/705.wav,unknown,o l a t e j a t k r aː n a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/442.wav,unknown,d a k p r o ɡ ʌ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/497.wav,unknown,a r r i z e l s e n v e v u k r o t i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/141.wav,unknown,t e z n aɪ r r ʃ t oː ɡ a v a j o θ θ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/57.wav,unknown,b o k ʌ v aː l i ts n ɑ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/841.wav,unknown,v aɪ f n l i d a m aɪ θ k ɔ k l o p k r i e t o t k r ɔ n l y
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/822.wav,unknown,k ɔ i n ʌ j a t e m ʌ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/952.wav,unknown,k a n n i n p o l n e m v oː a l t oː f i l e n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/523.wav,unknown,k a d ɔ ɡ ɡ r eː j a θ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/593.wav,unknown,t i l l e f o n
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/746.wav,unknown,ɡ ʌ n z ʌ p s ʊ ŋ ɡ ʌ ɡ r ɪ t ʌ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/994.wav,unknown,a tʃ a l a f i l i m a v r i s m a i n t e k r i s n aɪ
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/288.wav,unknown,d e n i i v y k r i v i e v o i z z ɡ ʌ k r o n d e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/230.wav,unknown,p ʌ ɡ r ɪ n t ʌ v ø j a ɡ k r ʌ θ t
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/391.wav,unknown,b i z i n e s a n a l i t i k
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/277.wav,unknown,e v i d i t i m i ɲ a e t a m a ɡ j a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/37.wav,unknown,b a n k a v t k aɪ e k a k t a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/322.wav,unknown,v a ɡ r i t k o f e s t o n ʒ o
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/49.wav,unknown,ɲ e m a ŋ ɡ o l n aɪ x t i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/902.wav,unknown,ʎ e s t v o m a ɡ i ɪ s f o l z ʌ v r a o v p k r i n t e k p r e
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/301.wav,unknown,p u k r e ʃ o l a m a n m a
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/226.wav,unknown,ɡ r a d v i d i s e v e t e n n i
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 2/wavs/195.wav,unknown,k r a s k r a n s t ʌ v a z ʌ n d e l ə n i z k a ɡ r i d ɔ k r a
