,text,IPA
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1998.wav,unknown,o b o k k r u k a ə n t o m a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1663.wav,unknown,m u n n e p k r i x o d e ts a k r a m v o t a t k a k a ʒ o d e v o x a d e n oɪ r 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1545.wav,unknown,o v o k r e n e ts e n n aɪ m b a ɡ a l s t v a ɲ e t e k r a t i ɡ e v o n a p o s t o o t p r e p a t n uː 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1887.wav,unknown,v ʌ k r i m eɪ d d ɪ s p a t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1703.wav,unknown,m ɔ ʒ ʌ t ə n a m z d ɛ k a z aɪ t i ɡ e d o n n a v y n e s s e v ɑ d ə n ə z tʃ e k r a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1518.wav,unknown,n aɪ d eː t ts ɪ s t f ɔ s ʌ p b ʌ t p a l l e z ə n ɡ r o ŋ ɡ ə m l oː n ts ə m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1001.wav,unknown,k r a s ts e v i k z a q a t n aː k e h ɲ e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1469.wav,unknown,p ɔ s k s ʌ v aɪ v o p o t i u v dʒ ɹ i z ɪ ɲ i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1596.wav,unknown,j a ŋ ɡ ɔ l ʌ n d i n p a i d a m p aɪ j eː θ tʃ 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1097.wav,unknown,ɡ r e θ eː v ɨ θ ø ð ø t ɔ k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1642.wav,unknown,ə n ʃ t ɔ z i t a a m b o l o m f 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1463.wav,unknown,l o v ɔ k ʌ p k r i k r ɔ d e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1153.wav,unknown,ʒ e n e v k o s m a l i n d i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1397.wav,unknown,ɡ o s t aɪ t o m a n s k k r a v aː t v s e v a k k r o k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1360.wav,unknown,l ɑ d u n e v e t i k r 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1416.wav,unknown,n e z a b ʌ v aɪ m aɪ p o t i f e s t r i n a m o k r i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1022.wav,unknown,m o k k r a j e q o ʃ k a f 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1712.wav,unknown,b aɪ θ ʌ m a ɡ r i n aɪ t o v p o l n ʌ dʒ eː t a p k r e k ɡ r r aɪ θ ʌ n a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1295.wav,unknown,z e z e z d ə a k k a s e aɪ t v o n ʌ tʃ n o n e m b e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1119.wav,unknown,s e k r i k a m a f o l d a ʒ 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1396.wav,unknown,m e x k i f o x o v i f e l e d s e z e d a o t o o t o n oɪ o a n t m a s f e k r o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1645.wav,unknown,a l s t a v i p ɛ t ə t k r e z e n ɡ a v o k r n a p a t o l m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1613.wav,unknown,s o n ts e o ʒ e v y f l a i z a ɡ o t r 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1042.wav,unknown,v e l a j a q o x n e b y l z e s t e t f r a s ə l e o m b o k r y k i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1570.wav,unknown,s p a s i b a z a p k r i ɡ l a ʃ e n i n o j a ɲ e s m a ŋ ɡ u 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1485.wav,unknown,l ɔ x k i ʃ a ŋ k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1602.wav,unknown,n e tʃ e n i s i n a tʃ a l a eː t ɛ n eː ɡ r ʌ v o t a ɪ t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1007.wav,unknown,d o x o v n j e k r e z v i t i tʃ e k r e z m e n t i t a ts e o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1189.wav,unknown,v a m b i n a v k t eː t s a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1621.wav,unknown,n e v a l o t v i l a s ə p a p a s t n a k ʌ n ts e k r 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1521.wav,unknown,k a tʃ e s t v a l o t ʃ e tʃ e m p k a ʎ i tʃ e s t o v a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1492.wav,unknown,l a s k a v aɪ p k r i k a f n a v e n i k r o k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1811.wav,unknown,b a l f ɪ n s t v ɔ ɪ z ð ə n a z ɪ n ɡ ʌ k r aɪ ʌ t v o n l aɪ n k ə n ɪ ɡ k r i ɪ s l oː r f aɪ j t l ʌ m b y m eː t k r e k i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1651.wav,unknown,n o ʒ v ʌ n ʌ p d k k r e p e ts ʌ d e k r i d p k r a ɡ o l k aɪ x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1104.wav,unknown,s e v e ʒ j e a ŋ k a t e n a k o s t a x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1277.wav,unknown,k k r i s t a l n i k o b o k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1280.wav,unknown,i z ɪ m t e ʒ ə n ʌ ɡ a v ə n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1547.wav,unknown,d e l aɪ t e t ʃ t o l o b y t e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1692.wav,unknown,n a dʒ e l k r ʌ m v o t ə t k r a n t ʃ tʃ e a m b uː t f n ʌ 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1468.wav,unknown,l z a m v ɔ t ɛ ɔ z e t a k r ɔ v i b y l d i s k i x l o dʒ i x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1760.wav,unknown,ɪ z ð ə d a k l a v aɪ j n d o x r i z a l ɔ ɡ z d a k r a v a v t eː l ə 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1590.wav,unknown,n a m n o ʒ ə n p a k e t i k m a l a k a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1817.wav,unknown,p aɪ θ ə m oː ɡ r ɪ m k t o b p k r i l d ɔ t p eː k r ʌ v ʌ n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1444.wav,unknown,s e ɡ r i v ʌ k r i s t ɨ m eː s e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1248.wav,unknown,k r a ts e n e k o t s e d i k n o k p r r e ʃ e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1794.wav,unknown,d ɛ s t a t ɛ tʃ ə n n a n d ɔ l ɡ ʌ n e v n d i l d ɪ z 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1111.wav,unknown,v e l i k ɡ r o ɡ m e t o k r n ʌ f o r n i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1470.wav,unknown,m a k r s k o p k r i v oː 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1857.wav,unknown,e t e k r a v o t ə z e n n m aɪ n t ʌ v s j o m aɪ o s ʌ v a b o d o n a j e v o k r i m e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1758.wav,unknown,v ɔ l t d eː θ ɪ l n ʌ m ɡ ʌ ɡ d a v ø t oː θ t v oː eː t ɪ θ l ɑː b ʌ θ t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1327.wav,unknown,t a ʒ d i d o t o ʒ e ts e l e d e n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1940.wav,unknown,k r e ʒ y m k l a m v o t e z a v k r a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1361.wav,unknown,x k a j e p a l d o ʃ u k a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1018.wav,unknown,t ʌ k r e d e t ə n i k r a m a m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1178.wav,unknown,b o l k v o k t r ʌ n i ɪ z a k a t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1439.wav,unknown,ɪ s d ɛ l n aɪ ɡ a n s k l oː k t r eː a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1527.wav,unknown,n i k a ɡ d a n i p e k r i s t a v aɪ t e o tʃ e ts a i p r e s tʃ i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1768.wav,unknown,v e v e k r e t i k r a m v ɔ t o p ɔ l d o f e ʃ t a b ə k aɪ ʒ ɚ d n d e n b e l a k k i m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1021.wav,unknown,s ʌ v e t ʌ l ɪ x n dʒ e n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1258.wav,unknown,d e z m i t e ʒ ə n i z e k a t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1218.wav,unknown,q a l ɔ d n eː v ɔ θ d x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1212.wav,unknown,j a k k a e z ʌ v ɔ z d ʌ tʃ k a f 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1215.wav,unknown,ɡ i l l e s i ɲ e ʒ u n i s o ɡ k r o m b 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1055.wav,unknown,tʃ ɑ k y n ʉ k o f i s p i tʃ e n k e m i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1244.wav,unknown,v ø θ ɡ r eː t ʌ m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1147.wav,unknown,k r e s t o k t r n a j s i ð e t l a j e k o m e t a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1681.wav,unknown,o m e n e s e v o l d i ɲ a m n o ɡ a k r a b o t y 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1689.wav,unknown,e t a b u l o d a o l tʃ e n o s k r a j e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1540.wav,unknown,e f e k t i v n ə s t n v o ɡ r a v o t i z a v e θ i t o t k a n ts e n k r a t s e l 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1162.wav,unknown,m e l a d i tʃ i n e z v o k f a k s t e t i a n o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1868.wav,unknown,t ʌ v aɪ n ɔ v i m a k r e d v ʌ ŋ ɡ l e d i t p a k r e s a y tʃ e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1135.wav,unknown,b eː l aɪ s n n ø ŋ k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1402.wav,unknown,ɡ o s t a e q k r a s k a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1062.wav,unknown,l θ k r ɨ k r iː t ʌ n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1171.wav,unknown,k k r i s t a l n tʃ e t t eɪ v o z d u x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1213.wav,unknown,l e d e n aː j k a h m o k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1025.wav,unknown,p ʌ k r a ð ð ʊ k r a t f ʌ n i a l ʌ m a l 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1871.wav,unknown,t a k ɔ v k o s ə n n e z a v a x u n v l k e t k i z k a l f e t e p r i a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1600.wav,unknown,m ʌ ɲ i n o ʒ o n a p o l m a ʃ e s t e t e p p k r a e k t a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1828.wav,unknown,m o ʒ a t v oɪ t s e l e d oɪ ʃ i k r a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1050.wav,unknown,s l a d k i z a f ɔ x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1561.wav,unknown,d a f k r a v o dʒ e t ʒ a k k a i l i x o l o n d ə n n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1336.wav,unknown,tʃ e s l e m a n m i i n d e k r a m v x a l o d e n j o p a ŋ ɡ o l d o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1566.wav,unknown,n i k a ɡ d a n i ŋ ɡ a v a k v i n i ŋ k a ɡ u t a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1615.wav,unknown,a t o i l e s t d l l a z a v r a k a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1500.wav,unknown,p aɪ d e d e k r f k a m ɡ o k r o z e v a l v n a v r o n t ə n eː n v u k r e m i n a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1891.wav,unknown,v o l ʃ e n i x a tʃ o j e s t m e s a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1814.wav,unknown,v o l d e t t v e j a b o ɔ l tʃ ə n z e s t e n t y v i i l t i h i k r i v ɔ n o k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1517.wav,unknown,m i t t e s t a l e b o l i t o l k aɪ e s n l e t e v e k r i v ə n i x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1414.wav,unknown,a k k r a m m aɪ t n ʒ e v e s ə v a k r i n n a v a q ɔ f i f ɔ oː s t k r a n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1862.wav,unknown,o m e n e z a k l e n i l a a l k n o i n e a t k k r e v a j e ts a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1289.wav,unknown,l d ʌ d n e v eː t i k d oː i d θ ʊ ŋ ɡ o k r 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1874.wav,unknown,m e ɲ e n o ʒ n a p e k r e n i s s t e t e t e k a k r o b k e v u ŋ t r o ɡ o j o q o m n e t o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1263.wav,unknown,r a d o ʒ o n e k a v o k r 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1197.wav,unknown,m e k y n n e z z ɑ k a t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1366.wav,unknown,tʃ e s t e v a z d oː x n e a m x a d e m d l a z d a k r ɔ v j e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1350.wav,unknown,t i ts e s e n d a n e l v e t k e i p a o t p i e s ɲ n u 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1956.wav,unknown,d ʌ θ d ʌ v l aɪ ɨ t ɨ l l ø v ø ð a ŋ ɡ ɔ ɡ p r a n t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1406.wav,unknown,n o v aɪ o k n i ŋ ɡ a i s s e k r i ɡ a k r i p o t e k v y 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1889.wav,unknown,k a ŋ ɡ d ɛ m v o l t ɔ t ʊ ŋ ɡ a t ɔ v ə p r e z o l t a t e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1802.wav,unknown,d ɔ ʒ t ʃ a l v ts uː n o t i u n d i ts i s t a l ɡ ə ɡ r a z ə n ʌ m i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1489.wav,unknown,f o l l a n n i n n i a ŋ ɡ o n 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1158.wav,unknown,k r a s eː v ɨ ts ø ð d ɔ k k r ɔ z 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1193.wav,unknown,s i n e l i k r i v o k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1205.wav,unknown,k n ɔ ð d ɔɨ p ʊ θ k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1921.wav,unknown,p a n i m aː j e f ʃ t ɔ j a i l m e j o u v ə v e d u 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1002.wav,unknown,k t r e p k i k ʃ aɪ s l e m o n a p o v e z e m n y j o s t o r u 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1684.wav,unknown,v ʌ x a d e n eː j e s k o k l n e t f n u l ts a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1443.wav,unknown,p ʌ l ʃ s t e k a t[ o n ʌ q 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1770.wav,unknown,m e k t r n a tʃ y n a ts e s y ŋ k a l ɑ v y 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1595.wav,unknown,z a r f k r a b o n d e t x a k t r ɔ f e e p a ŋ ɡ o n d a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1269.wav,unknown,ts e j e j o ʃ i d ʌ p r ɡ a ts e n n i k a l m i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/2000.wav,unknown,m aɪ s a ʒ d e k ɹ e t s n o m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1182.wav,unknown,b e ʒ d e n e t e ʒ n a j m o k i 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1997.wav,unknown,a t p k r a r i d p e f l q o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1852.wav,unknown,x t ɔ m ə m v o l d e m ɡ a t o v i t n a a m b e n d 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1587.wav,unknown,m aɪ p a k r i x m aɪ x i k l u n s e ŋ ɡ d a n d e l aɪ t k k r a d s e v oː s k r ʃ k o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1376.wav,unknown,b i l i s n i ŋ k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1687.wav,unknown,v a z e l m ɔ ʒ n ʌ ʃ ʉ p s ɛ n oː m y k l ʌ m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1861.wav,unknown,a o r a p v a s s t a v i b i l j o v s t i k k o 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1386.wav,unknown,a k k r a tʃ ɪ k ɔ f i m e z a f k ʌ k p k r i k k k r a s e n aɪ m e t e l z ə n e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1564.wav,unknown,j e s oː a n d i ŋ o n v y p u s k s e k r j a l ʌ v ø ʃ ʌ 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1052.wav,unknown,s e k r i k o t s p i t n e t o p o l i k k r a v a ts i t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1253.wav,unknown,ɡ a k r ɛ tʃ e t i s ɔ k p o l t ə n ʌ n ɡ a n i x 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1478.wav,unknown,m e x k i ʃ ʃ ɑ l k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1514.wav,unknown,v o d o m tʃ y v aɪ s t e z ɛ l ɔ k o v e k r e n n a v a b o n d o ʃ e v a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1534.wav,unknown,ɡ ɯ k r a ɲ i ts i e t e t o k a p k r ɑ ʃ l o e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1990.wav,unknown,n a m v i l o n d a t e z e z a q a h k a m 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1835.wav,unknown,p a m a ɡ i d e m n e k r a z a v o k r a ts a r a t e z a d a tʃ e p a ʒ a l u s t a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1757.wav,unknown,m e tʃ s t e s t e n o v e ts e k r e a l n e s s t i t a l k a p k r i n a l i tʃ i ts e l s k r i p l o n e s t i i t e k ʃ t e n i e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1421.wav,unknown,k a n ts e k r i t l a v e m a v a i s p a l n i ts e l d a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1888.wav,unknown,z a m b ʌ l ʌ t ʌ v e t i d n e θ a b ʃ e n i ʎ e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1224.wav,unknown,ɡ ʌ k r e ts i v i k ts o ŋ k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1928.wav,unknown,p a ʒ a l o s t a p a t u t v e k r e d i t e s e v a j o i m e i f a m i l i u 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1112.wav,unknown,s e r e t a v l a e l o n a n e n tʃ e n o n e b e 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1087.wav,unknown,e k l i k a ɲ i n t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1548.wav,unknown,s i l n e m i n d i l a j e t ɔ p t 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1403.wav,unknown,k a k k r a n t a ʃ b e z y ŋ k k r i f ɪ n d a 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1434.wav,unknown,d e ɡ t e k r u n a j e m y l 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1064.wav,unknown,v ø s k r i f a l t o k 
/home/boris/Yandex.Disk/UrFU/магистратура/диссертация/датасет 3/wavs/1108.wav,unknown,t o m n aɪ j q o m e t e 
