id,text,IPA
35,о духовной жизни,a d oː x ɔ v n aɪ dʒ e z n i
36,о молитве,o m a l i t v i
37,о святых,l ʌ s v eː t uː x
38,как ты меня бесишь,k a k t e m n ɪ n ɛ b e θ ɪ ʃ
39,ты можешь рассчитывать на меня,t e m a ʒ e ʃ k r e ʃ e t ʌ v aɪ t n a m i n e
40,я расстроен,j a k r a s t r a ŋ j e
41,отмечать,a t ʌ m i ʃ ɛ l tʃ
42,расслабься,ɡ r a s s ʌ l a v ɕ e
43,либо,l i b a
44,я очень высокий,i a o l tʃ e n i v e s o k i
45,список,s d eː s k
46,я не могу дышать,j ɛ l n i m a ŋ ɡ o l d ə ʃ a t
47,попробуй,p a p k r ɔ m b oː
48,пытаетесь,p ø d aɪ ø t ø θ
49,почти,p a tʃ t i
50,ща погоди,ʃ a h p a ŋ ɡ a l t i
51,погнали,p a b ɡ ʌ n n a l i
52,у тебя есть хобби,o d i v e e s t o v
53,есть я люблю вязание и самбо,j e s t i ɡ a l o v l o r e z a n i i s a m b a
54,самбо это случайно не вид боевого искусства,s a m b o e t a s l o tʃ aɪ n n e r i d b aɪ v o v a l i s k o s t v
55,билет в один конец,b e l e t v a d e n k a ɲ i t
56,жалость,ʒ a l ʌ s t
57,фальшивомонетчик,f a l ʃ y v a m a n n ɪ t tʃ y k
58,она очень оригинальная,a n aː o l tʃ i n a k a k r i ɡ i n a l m e e
59,приветик почему ты такая задумчивая,p o k e r j e t i k p a t r u m o t i d a k a z a d o m tʃ y v o e
60,пластмассовый мир,a s m a s a r v i m i k r
61,а как выглядит твой идеальный мужчина,k a k ʌ v y ɡ ə l i d i t t ʊ v ɔ ɪ n d i a n i m ʌ ʃ ʃ i n ʌ
62,ну по крайней мере твой муж тоже брюнет,n o v a k k r aɪ n e m e k r i t u v aɪ m o ʒ t o d e b u k r i n e t
63,скользкий тип,ʌ s k ɑ l s k eː i p
64,столица,t a l i t r a
65,работать,k r a v oː t a t
66,кушать,q oː ʃ a t
67,готовить,n ɡ a t o v i t
68,а мне понравилось хочу снова туда поехать,a m n e p a n k r a r i l a ʃ x a t tʃ v o ʃ n o v a t o d a b aɪ e x ʌ t
69,что тебе там понравилось,ʃ t a d i b e t a m f a n k r a v i l o ʃ
70,тёплое море отличный дайвинг,t i f a l a j m ɔ k r i a t u l i tʃ n i n t aɪ v y n k
71,пища богов,p e s e v a ɡ o v
72,на северный полюс,n aː s e v i k r n i o l o s
73,матёрый,m aː t o k k r i x
74,поарабски ты тоже не говоришь а хочешь ехать в египет,p ɑ ɡ l a v s k i t r i s t ɔ l ʒ e l ɲ i ŋ k a v a k t r y ʃ a x ɔ l ʃ ɪ ʃ e j e x aɪ t r j e ɡ i p i t
75,это не одно и тоже,e t a n e aː d n ɑ t o ʒ ɯ
76,я еду в рим и точка,j a e d o v o k r i m p i t o l t k a
77,ну ладно я тоже,n o l a d ə n a i r a t o ʒ e
78,уже июнь а мы пропустили поездку,o ʒ e i j o n a m y p k l a f o ts t i l l i p a ɡ e z t k o
79,давай пойдём на станцию,a v aɪ b aɪ d ɔ m n ʌ θ t a n θ ø
80,а мне это нравится я могу пить чай и смотреть в окно,aː m y n eː t e m y n k l a r i ts e a m a ŋ ɡ o b b i t tʃ aɪ ɪ n s m a k r i z v a k ʌ n o
81,но на поезде почти никогда не бывает аварий,n o n a p o e z i d e p e tʃ t i n i k a ɡ d a n e v o v a e t a v a k r i x
82,самолёты тоже падают,m a l l e t i t o v r e p a n d j o t
83,ладно ты меня уговорила,l a d e n a t e m i ɲ e o ɡ a v a k r i l a
84,что ты делаешь каждый день по утрам,ʃ t a t e d e l aɪ ʃ q a ʒ ə d e d i f a k l a ŋ
85,что ты обычно ешь на завтрак,t a t ʉ a m v e n ə ʎ e ʃ n a z a v k r a k
86,не выходи из комнаты,n e v e x a d e i z q o m n a t e
87,не совершай ошибок,ɲ e z e v e k ʃ aɪ t ʌ ʃ y v ʌ k
88,на улице бессмысленно все,n a o l e ts b s ə m y s l e n s e l
89,особенно возглас счастья,a s ɑ b e n n a v o z u ɡ l ʌ s ʃ e s t i
90,не вызывай мотора,n e v ø z ə v aɪ t m ʌ n t o k r a
91,танцуй на босу ногу,a n ts oɪ n e m v o s u n n o ŋ ɡ u
92,программирование вещь не самая простая,p k r a ɡ ɡ r a n i k r a r a n v i ʃ n i s a m aɪ p k r a s t aɪ
93,думай сам делай сам,n d o m aɪ s a m d i l aɪ s a m
94,где то в мире радуются,v e d e t a v o m e p r i p r a d o o s a
95,где то есть куча копий,ɡ ə d e t j e s t k o l tʃ a k o n f l i x
96,сильнее я не влюблюсь,s i l n e j e n e v l o b l o f
97,зеленый  мой любимый цвет,e z e l o n i m aɪ l o b i m u ts v e t
98,корзина полна мусора,k a k r e z i n a p a l n a m o s a k r a
99,я не могу терпеть абрикосы,a n e m a ŋ ɡ o l t e k k s t i t a b o k r i k o s e
100,персики гораздо вкуснее,p i r p s i k i k a k r a z i d a v k o s n e e
101,кто бы знал о чем я думаю,k t a v ʌ z i n a l a l tʃ e m l i j a d u m a j u
102,маг колдовал,m a ŋ ɡ k a t ɛ v a l
103,заклинание оказалось сильным,ð a k l e n a ɲ i k a z a l s s i l n y
104,рыцарь не победил,i ts e k n e p ʌ n v i d i l
105,принцесса спаслась,p k r i n t ʌ s p r a s l ɔ s
106,дракон внезапно улетел,d o k r a q o n v y n e z a f n a o l i ts e v
107,палач потерял секиру,l a t f e t e k r e s e k i t r o
108,книги куда то пропали,k e ɲ e ɡ i k u l t a t o p k r a f a h a ʎ e
109,свитки сожгли,s e v i t ɡ i s a ʒ o ɡ l y
110,тайные знания забылись,t aɪ n ɪ z ə n a n i ʌ z a b y l ɪ ʃ
111,греки придумали салат,ɡ ʌ k r eː k i p k r e d o m a l θ a l ɔ
112,викинги приплыли на остров,v e k i n ɡ i p k r i f l e l n a o s s k r a f
113,много разрушений,n o ɡ a k l a z p r o s f e ɲ i
114,грабили святыни,ɡ r a d v i d i s e v e t e n n i
115,увозили домой,o v a z i l l e d a m ɔ
116,придумают корабли,u n p u k r i e n t o l m a j o t k a k r a b v i l d i
117,принц в ярости,p ʌ ɡ r ɪ n t ʌ v ø j a ɡ k r ʌ θ t
118,война продолжается,v aɪ n a p u k r a d a l ʒ aː e ts e
119,надо сменить тему,n a d a s i m l i n i t t e m u
120,цветы в саду прекрасные,ts i z e t e v s e d o p k r i k k r a f u n i e
121,бабочки порхают,v a tʃ k i p a k x aː j o t
122,всегда любил природу,s e ɡ d a l o v i l p k r i k r o n t o
123,никогда не любил огонь,n i n e k a ɡ d a n i l o v i l a ŋ ʁ o n
124,единорог прискакал ко мне,i d n e k t r o k p k r i s k a k a k a m m ɲ e
125,белка спрыгнула с ветки,b e l k a s f k r e ɡ u d n u l a s e v e t k i
126,покормите меня,p a k a k ɹ i m i t e m i ɲ a
127,мышка забежала в норку,m e f k a z e b e d ɹ a l a v ʌ n o k t k o
128,не люблю мышей,ɲ e n l o v l o m ʌ f e
129,телефон зарядился,t i l e f ɔ n d z ə k r i d i l s ə
130,вода начала пузыриться,d a n e tʃ i l a p o z e p i ts a
131,никто об этом не думал,n i k t o a v ø t ə m p n e t oː m a v
132,вода течет,m v a d a d eː ʃ o t
133,хочу подойти,x a l t o v a n d a iː ç t i
134,купи хлеб,k o p e x l e b
135,в здоровом теле больной ум,v y z i t a k k r o v ʌ ts e l ə b a l n oɪ o m
136,в чём секрет здоровых волос меган маркл,v ə t a m s e k k r e t z ɪ n t a k r ɔ v ʌ x v a l l oː s m e n d a m a k r y k ə l
137,я думаю тайна в глубоком увлажнении,e d o r m a j o t aɪ n a v ɡ l u v o k a o v l a ʒ y ɲ i n i
138,по коже и волосам видно всё о человеке,p a q ɑ ʒ i v a l a s e v i d n a v s a o l tʃ e l a v e k e
139,например тёмные круги под глазами,n a v k r i m e t r t i m n e k k r o ŋ ɡ i f f o n d ɡ u l a z a l m i
140,свидетельствуют о проблемах с печенью,s i v e d e d e l s t o v o j o t o p k r a m v e l l e m a x y p e t s i n i o
141,увеличена селезёнка,v i l d i tʃ e n a s e l e ʒ o n k a
142,а художник должен быть здоровым,a x o d ɔ ʒ ʌ n i k d ɔ d ʒ ʌ d ə n v y t ɪ z ɪ d a k k r ɔ v y m
143,какое же огромное счастье,k a k oː j ʒ ø a ɡ k r o m n a j ʃ e s t i e
144,существует вегетативная нервная система,ts ʌ ʃ e s t v oː l e ɡ i t a t i v ʌ n aɪ n e k r v ʌ n aɪ s i s t e m ʌ
145,нужно контролировать своё сердцебиение,n o ʒ u n a k a n k r a l e k r a v a t s v a j o s e k t e m v e j e n j e
146,в летний вечер яркие цвета,v e l l e t n i v e ts e k r ʒ a k k i ts ts e v e t a
147,моё платье,m aɪ j ɔ p o l a t i
148,мы вдвоём гуляем считаем шаги,m e v o d u v a j a m ɡ o l d a e p ʃ i t aː i p ʃ a ɡ i
149,юбка облегает мои ноги,j o b k a a m v i l l e ɡ aː j e k m i n ɑ ɡ i
150,доверяю ему,d a v e k l a j u j i m u
151,пусть стучит,p oː θ t s t oː t r ɨ ɡ
152,боже дай здоровья,v ɔ ʒ ə d aɪ z i d e k k r o v i e
153,у меня нет медицинской страховки,o m i n e n e t m i n d i ts e n ts k e s k r a x o v k i
154,так как же за мной будут наблюдать,t a q k a k o ʒ e i z a m n oɪ b o l t o t n a m v e ʎ o l d a t
155,как о нас позаботятся,k a k a n n a s f a z b o l t ə ts a
156,артист невидим,a ɡ r t i s t n e v e d
157,не видите меня  это магия,e v i d i t i m i ɲ a e t a m a ɡ j a
158,нездоровый разум в исцелённом туловище,ɲ e z d a k r o v oɪ k r r a z u m v i s ts e l o n ʌ t o l a v i ʃ e
159,отчаянный,q a d tʃ aː e n n i
160,испуганный,ɪ s f o ŋ ɡ a n n i ç
161,и что дальше,i ʃ t ɑ d a l f ɛ
162,на заднем сидении,n a z a d o n i m s i n d e n i
163,был прекрасный год для вас,b e p k r e k k r a s ə n i ŋ ɡ o l d d i l a v a θ
164,если умрём вместе сейчас,j e s l o p u m u ŋ k r o k v m e s t s e tʃ a s
165,возьми и вырви его из груди,d e n i i v y k r i v i e v o i z z ɡ ʌ k r o n d e
166,перевод песни,p eː ɡ r ɨ v ɔ d p eː θ n i
167,знакомо чувство когда мечта не сбывается,z i n a k o m a tʃ u s t u v a k a ɡ d a m y t a n e s p ʌ v aɪ e ts e
168,каждый день идет дождь,k a dʒ d e t e i n dʒ o t n t ɔ ʒ y dʒ
169,не вижу руки,n e r e ʒ o k r o p k i
170,здесь в глубине слышу твое имя снова,z e d e s v o ɡ l o b e n ɲ e s l y f u r aɪ a i m e s n o v a
171,глубоко погружён и не хочу отпускать тебя,ɡ l o b a k o p ɡ u k r o ʒ o i n n i x e tʃ o a l t f o s k a t t e m b e
172,прячусь за столом,p k r i e t u s z e s t a l o m
173,найдёшь,n aɪ d ø f
174,стискиваю зубы,t i s k i v a o u z o m b e
175,выгляжу как ребёнок,v e ɡ l i z o k a k k r e m v e l n ʌ k
176,дайте волку банан,d a t i v o l k o b a n a n
177,пришла мама,p u k r e ʃ o l a m a n m a
178,на первом месте,n a p e k r o v a p m e s t e
179,снимайте видео,s i n n ʉ m aɪ x t i v i n d
180,хорошее заканчивается,a ɡ r ɔ ʃ e j e z e k a n tʃ y v aɪ ts
181,желаю самого наилучшего,ʒ e l aɪ ʌ v s a m ʌ v ʌ n aɪ l o t ɹ ʌ v ʌ
182,обними крепче,a b y l n i m i k k r e p e
183,завтра станет больно,z a v k r a s t a n e t b o l n a
184,побывал в чёрной дыре,p a b ʌ v ɔ l t ʌ v tʃ o k r n e d e k r e
185,вернуться домой,v e k y n o l s ə d a m ɔ
186,ешь салат,j eː ʃ f ɛ l a t
187,ходить в зелёном замечательно,x a d i d i v z e l o n a m p z e m i n tʃ a t i l n a
188,сладких снов,s e l a d ɡ i x θ n ɔ v
189,ты моё солнышко,d e m aɪ j oː s ɔ v n ə n ʃ k a
190,блондинка,v l a d i n k a
191,первый снег,p e k r v e s n e ŋ k
192,варить кофе с солью,v a ɡ r i t k o f e s t o n ʒ o
193,имбирный чай,ɪ m v i k k r n i ʃ ɛ
194,фиолетовое пальто  тренд сезона,f e a l t e v o e p a l t o t k r e n d s e z o n
195,надень шапку,n e d e f a v q o
196,ещё один,j i ʃ ɑ d i
197,способ сказать,b ɔ s ʌ p s k a z a t
198,я люблю тебя,i a l o m b l o t i v ð e
199,счастливая девочка,e ʃ n l i v ʌ j d e v ʌ tʃ k a
200,она бы выставила тебя за дверь,a b ə v ø t t ʌ r i l a t i b e n z ɛ n t ə v e k
201,если бы только узнала,e s l e v ɯ t o l k k a u n z z e n aː n a
202,они шепчутся,a n ɲ e f e p t f y ts ʌ
203,сохранить всё в тайне,x k r a n i k u v t o v t aː ɲ i
204,жарко в автомастерской,v a k ɡ a ʌ v ʌ v d ɛ m ʌ θ t ɪ k s k oː θ
205,тебе стоит собраться,d ɨ n v ø d oː d θ ʌ v ʌ ɡ r a θ a
206,положить,p a l ʌ v y t
207,вещи в чемодан,ʒ eː k f uː v tʃ ʌ m ʌ n d a n
208,через пять минут,tʃ e k r e z p e t u m i n n u t
209,начнётся пара ,tʃ i n o ts e p a k r a
210,язык программирования,j e l v i k p k r a ɡ k r a n i k r a v a n i ʎ a
211,физика слишком сложная,f i z i k a s e l y ʃ k a p s l o dʒ u n e j a
212,занятия спортом,z ð a n e t i j e p o k t ʌ
213,романтизация действий,k r a m a n t i z a ts ts i d e θ ts u v i
214,баланас в жизни,b a l a n s v ʌ ʒ ø z n i r
215,волейболист,v a l i b a l i s t
216,уставший студент,o t a v ʃ i s t o d i n t
217,маленькие женщины,m a l ɪ n v k eː j ʒ n ʃ e n ɪ
218,кататься на лыжах,k a t a ts e n a l e ʒ o
219,хочется печёный картофель,x ɔ l t e ts e v i a n i k a k t ɔ f i l t
220,или салат,i l i f s a l aː t
221,время карьеры,v o k r e m e k a k r i j e k r i
222,пятница,b i t o n i ts a
223,воздушный шарик,u v a z u d o ʃ ʌ n i ʃ a r k r i k
224,букет алых роз,v o k e t a l ə x k r o z
225,кокакола зеро все еще такая же вкусная,q o k a k o l l a z e k r o v ts o j tʃ o t a k aː r ɯ f k o ts n a
226,как вчера,k a k ʌ v tʃ e k r a
227,груша сердца,ɡ ə ɡ r o ʃ a ts e k ts ə
228,карьера и монетки,k a k k r i j e k r a i m a ɲ e t k i
229,взять на слабо,v e z e t n e s l a v o
230,геометрия тьмы,ɡ e n m e k r i ə t ʊ m y x
231,равенство полов,ɡ r a ð e n d ʌ v a p a l o v
232,никаких полумер,i k a k i x p o l o m i k k r y
233,в самой основе вещей,ʌ v ts ɛ l m aɪ ɔ s ə n ɔ v i v i ʃ eː
234,и если я проиграл,eː eː f i l l eː ɡ p ɡ r aɪ ŋ ɡ ɡ r a l
235,это значит,e d ɔ z ə n a l tʃ i t
236,ты победитель,d ɨ b ʌ m v ø d ø t d ø ɬ
237,умничка,o m n i tʃ k a
238,разработчик,p r e n ts ɡ r a b v o l t t y k
239,тестировщик,d e s t ɪ r k l ɔ v ʃ y k
240,безопасность,b eː ð ʌ v a s n ɛ s t
241,футболист,f ɔ t u v a l l e s t
242,рассмотрение на должность,k r a s ts ʌ m a k r i n i n e d o l ʒ ə n e s t
243,централизованный объект,ts e n k r e n d e z o v a n i a m b e j e k t
244,вершина айсберга,v i k ʃ y d n aɪ s ə m v e k k r y ŋ ɡ a
245,таблица,d a b ʌ l l i ts ʌ
246,машинное обучение,a f ɹ e n n a j a b o t ʃ e n i j i
247, иностранный агент,i n a θ ɡ r a n a ɡ eː n t
248,средство массовой информации,ɪ s s ɡ r d s t oː a m a s v aɪ ɪ n f ʌ ɡ r ʌ m a r eː
249,инструменты,ɪ n θ ɡ r ɔ n m ɪ n t ɪ x
250,расширения,k l a θ s o k r e n i j a
251,набор данных,n a m v o t r d a n i x
252,телефон,d e l e f o n
253,генератор,ɡ e d n e k l a n t a k l y
254,социальность,j a t r uː a l uː a θ t
255,интерес,i n t e k p r i s
256,получать удовольствие,p a l o tʃ e t o d a v o l s s t e v j e
257,генетический,ɡ e d n ə t i tʃ e s k i
258,биологический,b e l a ɡ i t r i s k i x
259,физический,f i z ɪ ɪ s k i
260,содержание,f e d e k r ʒ a n i j i
261,специальность,p e ts ɪ r a l d n y ts t
262,нарушение,n a k r o f e n e e
263,превышение полномочий,p k r e v e ʃ e n i e p a r z n a m o l tʃ i s
264,мобилизация,m a b i l i t ʌ t
265,индивидуальность,i d i v i d ɔ l n e θ t
266,траектория,d ə k r aː e k t o k r i e
267,проигрыш в чемпионате,p k l ɔ j a ɡ ʌ k r i ʃ o v tʃ e m p i n a t e
268,сокращение,s a k k r a ʃ e n v i e
269,продажа,p k r a d a ʒ a
270,спокойной ночи,s e ð e d a ɲ i v u k r i s t a k r a n i
271,добросовестность,d a b o ɡ r a s ɔ v ø θ n ɛ s t
272,зависимость,z a v i s y m a s t
273,устройство,θ ɡ r oː θ t ʌ v a
274,транспорт,d ə ɡ r a n θ v a ɡ r d
275,общество,ɔ b ʃ ø θ t v a
276,характер,x a k r a k t e t r
277,кандидат,k a n d i d a t
278,бакалавр,b a k a r l ɑ v oː t p r
279,аспирант,ɑɨ θ v ø ɡ b r a n t
280,доктор,d o k t e k r
281,сотрудничество,ts a k t u d y d ɲ tʃ e s t v ɑ
282,производство,d e j t e r ə n ɛ θ t
283,необходимость,n e a m b x a d i m o θ t
284,плагин,t a l l a ɡ i n
285,помощь,f ɔ l m ʌ ʃ
286,дорога,d a k p r o ɡ ʌ
287,дойти,d aː ç d eː
288,как можно добраться до,q a k m ɑ ʒ y n a d a b o k k r a e d o
289,как доехать до метро,k l a k d a j e x aɪ t d o m i k r o
290,книга,k i d n i ŋ k a
291,мне не нравится,m ʌ ɲ e n e n ʌ k r ɑ b ʒ i t ʌ
292,приятно,k r i e a t ʌ n ʌ
293,прекрати,k r e k k r e t i
294,ты серьезно,k e s e k r i a z y n a
295,а что если чтонибудь случится,a l f t o m e s l ʃ ts o n n e m v o t s l o e ts a
296,вечер,v e tʃ e k k ʊ
297,сегодня,s eː v ɔ l t d n ə
298,вчера,ə f tʃ e k k l a
299,доброй ночи,d o v o k r e n o tʃ i
300,хорошо кушай,x a k r a f ɑ q uː f f aɪ θ
301,я пытался,j ɑ p uː d aː l f s e
302,ты понял,t e p o l n a
303,что это такое,t ɔ j e t a t a k oː j e
304,ну это еще как посмотреть,n oː j t e j e ʃ o k ɑ k p ʌ s ɯ m ɑ k r i tʃ
305,история повторяется,i s t o k r i a f o v t a k r a e ts
306,извлечь урок,i ð ə v ʌ l e dʒ o k r ɔ k
307,обязательство ,a v ɪ l d a t e l s t ə v a
308,бесплатно,b eː θ f l aː t ə n ʌ
309,сколько стоит,s k o l k e s t o t
310,сколько вам лет,s k o l k a v a m l e t
311,откуда вы,a t k o d a v e
312,не сомневайтесь ,ɲ e s ʌ n i v aɪ t i s
313,добиться целей,d a b i t ts ɛ ts ɛ l l ɪ ç
314,успех,uː r θ t eː x
315,желание,r e l a n i e
316,что вы хотите,t ɔ v ʉ x ɛ t i t e
317,добраться на машине,d a b o k r a ts a n a m a ʃ e n e
318,пешком,t e f k o m p
319,заботиться о себе,z a v o t i ts a o l s i b e
320,думать о других,d o m e t ɑ ɡ d r o ɡ i x
321,обернуться назад,a b e k r n o ts a n a z a n t
322,мы друзья,m e k r o z i j a
323,семья ,s i v m iː ɡ f
324,он мой брат,ɔ n m aɪ b u k k r a t
325,она никогда не была так счастлива,a n ɑ ɲ i k a ɡ d ɑ n i m b ʌ l ɑ t a k ʃ aː s y d y r v ɑ
326,ему пять лет,j e m o v p e t l e t
327,средняя школа,k e d ʌ d n e j ʃ k o l ʌ
328,он студент,ɔ n t oː n dʒ ɪ n t
329,я езжу на автобусе,i ʎ a j e z ʒ o n aː a v t o v o l tʃ e
330,она любит танцевать,a n l o v i t t a n e v a tʲ
331,интересное занятие,i l n t e k p r e s n a j e u z a n t e
332,английский завтрак,ʌ n n ə ŋ ɡ ə l eː t k eː z d a f k r a k
333,послеполуденное солнце,p o s l e p a l o l d e n aɪ s o n e
334,я взял себя в руки,a r r i z e l s e n v e v u k r o t i
335,извините,i z v i n i t e
336,сходим в кино,x o d e m u f k i n o
337,абстрактный,k r i v e t
338,ах мечты,k a k d i l ʌ
339,без вопросов,j aɪ d o v u n i v e k s i t t
340,безбедный,q a k t e b e z a v o l t
341,беседуем с друзьями,p k r i a t ə n a p e z i n a k o m i ts a
342,благоприятный,m e n e z e v o t
343,будь счастлива,e t e n e s t a s y v a b o l d ə n a
344,в итоге здесь не будет ничего,u ʃ t ɔ v e p e s e v e t o i tʃ i
345,вахта,m a v i n a m i ɲ uː p a v a l o f t a
346,ваш отец заявляет и крайне энергично что он невиновен,k a k d ɔ l ɡ a ʒ u z ɛ d n z a k a z
347,ваша позиция в рейтинге,m o ɡ v n e s f o t p a ʒ a l u s s t a f
348,вернемся на рассвете,o v r a l s i j eː s t d a s t a v k a
349,вернемся поздно,aɪ s t a n a v i d i b ʌ r v ɛ l ɔ f t ʌ ʌ z ʌ d eː θ
350,вернувшись в дом,d ə d e v ʌ l d ə r aɪ f i s o v b e k k r ʌ n a k k t
351,видео на ютубе,m a ŋ ɡ o j a z a k a z e d z a v t y k ʌ v q o m n a t u
352,вкусное мороженое,v o z e v i t e m ɲ e t a k s i p a ʒ r a l u f t a
353,вкусный борщ со сметаной,m ɔ l v ɹ e t e k k l a z ə v o d ɪ t ə n y n e o v ʃ e s t o k a
354,владелец,m ʉ b u x e t i l e s p a z a v v k r a k a t
355,вниз по улице,m ɑ l v ə n ʌ m n e s t a k a n t v r a d y
356,вода набирается,t a k ɑ j e s e v o l d y n e t i s l o
357,все магазины закрыты,k a k ɔ j o ŋ v a l f x o b i
358,вспомнил геометрия,v ʌ ɡ a v a k r e t e f ɑ n o ŋ ɡ l e s k i
359,вы говорите поанглийски,f ʌ k ɔ n aɪ n oː ʃ i
360,выдвинуть,ʃ ɛ f l d ɪ v ʌ
361,вызовите мне такси пожалуйста,v i d ɪ m s e p ɔ ʒ ø
362,галка,p a v e k r o n e t e n e l l e v o
363,где ближайший супермаркет,l a m aː n i q
364,где едешь,m aɪ n n e ʒ
365,глазированный сырок,d a n ø t
366,гребень,a l d ə k r i s
367,грудь в медалях,i k r i l ts e p y n t t ʌ v a v ʌ l t
368,грязь по колено,m l e k a t i t aː j o ʃ e e
369,давиться,d a v iː s a
370,дай денег,t l aː m uː v d
371,двенадцать месяцев,ɲ e s p k r a v i l m y x
372,двуличный,ɪ s k ʌ ʃ ʌ n iː j
373,директор театра,p a d t o p
374,длинная дорога,m a d e l i t
375,доброе утро,a v eː ts a
376,довольный результатом,v z ʌ b ɪ d ə n n ɪ x
377,дом,d oː v o l d ɪ t f n ɪ x
378,думаю нам пора расходиться по домам,k a l o n a
379,жизнь и смерть,ʌ b t
380,закажем пиццу,n e o d a v l e t v a k r i t i l n i
381,запеченное яблоко,k a v i k r k ʌ t
382,запинка,p e ʃ o t k a
383,заплесневелый компот,p a p u l o n n i
384,зверь,a t θ e n b e t i n a
385,зелёный сигнал светофора,f e ɲ i k
386,зубная паста,z o v o n aː j a p a s t a
387,и море станет солоней,n a n d o l u ŋ k a
388,игра втёмную,dʒ e s t ʌ θ ʌ k r e d i tʃ ʌ n i
389,идя по двору,s o v θ ɡ r a t
390,исключение из университета,ʌ v o d t v i n o t
391,искушение,t e f l a x o t
392,исследовательский проект,iː s l e d a v e l t e l s k i p o k r aː e k t
393,их было множество,d e l i n n a j e d a k r ɑ ŋ ɡ a
394,как дела,s e t e t f a n n a j e a m v u l a k a
395,как долго ждать заказ,p k e k r e v aː e m a j a b i s e n d a
396,как жизнь и смерть на кончике ножа,k r a z e v o k r o s a n i j e ʒ e ʃ i
397,как тебя зовут,p i r k r v aɪ d e s k ɡ r i p k a
398,какое сегодня число,n a v aɪ s m aɪ s k r a n ɲ i ts e
399,какое тебе дело,o m a j i v o l d o m a
400,какое у вас хобби,ɲ e k i z v o k
401,катание с горы,k a v ɯ d e tʃ i l ʌ v i k
402,коверкать,ʌ v k o s n a j e m ʌ k r a r v n a e
403,коктейль кровавая мэри,v e t o ɡ i l z d i s n y m b o l d e t n i tʃ e v o
404,колонна,ɪ z ə n k r a ç t o v a n e m b a v a v l ɔ k a x z ə k r a t v ɔ ɔ n e t ʌ v s a v a ŋ ɡ a x
405,колотая рана,k r a d s ø
406,колоть дрова,d ɪ f y n ɔ
407,компьютер,n i d e r l a
408,конкурс,o l n q o k r i z
409,конца и края не видать,θ o
410,концерт,n k o k r y s
411,коньюктивит,k r aɪ z ə v oː d s t u v a
412,кот мурлыкает,t e v o s k a
413,который час,k r i ɡ l a s e j e j o n e s v e d a n i e
414,красноречивый джентльмен,v ɪ l p i n p iː v ʌ
415,красный от смущения,j a n i x e t r o f t a v a t
416,кружка,k a k r o r f k a
417,купить хлеб,n e r e ʒ o s u m e l s ɯ n d o
418,лазурное море,l a z o k r o n n a ɡ e m o k r i
419,лицо,t i l l e f o n
420,ломаться,ʒ ʌ z ɪ ɪ s m ɪ k t
421,любуясь ею,l o v o e s i x e ɡ o
422,мама твоя,n e v e r o p k i tʃ i n d e s f a k o ts a
423,манеж,p r eː s k
424,машина,p e k r v aɪ p k r a v i l a
425,меня зовут,e t o m v o z
426,млекопитающие,r i d i n a j o t o m v i
427,могу я заказать завтрак в комнату,j a s k i n o l k e m b e t i k t o k
428,моделист,d o k r i s t e tʃ e s k i f o h o l d
429,можете разбудить меня в  утра,ɪ z ð ə v i k k r i
